postcode,area_code,area_name,locality,lon,lat
M15 4AB,E05000825,Clifford,North,-2.26046,53.465578
M15 4AD,E05000825,Clifford,North,-2.260757,53.464903
M15 4AG,E05000825,Clifford,North,-2.257546,53.46207
M15 4AJ,E05000825,Clifford,North,-2.262773,53.457321
M15 4AL,E05000825,Clifford,North,-2.258379,53.462769
M15 4AN,E05000825,Clifford,North,-2.258558,53.462571
M15 4AQ,E05000825,Clifford,North,-2.257546,53.46207
M15 4AS,E05000825,Clifford,North,-2.257227,53.461621
M15 4AT,E05000825,Clifford,North,-2.257227,53.461621
M15 4AZ,E05000825,Clifford,North,-2.256355,53.461794
M15 4BA,E05000825,Clifford,North,-2.256355,53.461794
M15 4BF,E05000825,Clifford,North,-2.264138,53.466001
M15 4BG,E05000825,Clifford,North,-2.263445,53.466084
M15 4BH,E05000825,Clifford,North,-2.263519,53.465769
M15 4BJ,E05000825,Clifford,North,-2.263863,53.465463
M15 4BL,E05000825,Clifford,North,-2.263529,53.46505
M15 4BN,E05000825,Clifford,North,-2.261891,53.46571
M15 4BT,E05000825,Clifford,North,-2.262474,53.464971
M15 4BU,E05000825,Clifford,North,-2.261226,53.465325
M15 4BX,E05000825,Clifford,North,-2.261697,53.466068
M15 4BY,E05000825,Clifford,North,-2.262599,53.46569
M15 4BZ,E05000825,Clifford,North,-2.26325,53.466353
M15 4DA,E05000825,Clifford,North,-2.261814,53.465332
M15 4DE,E05000825,Clifford,North,-2.262017,53.466715
M15 4ED,E05000825,Clifford,North,-2.26445,53.467744
M15 4EE,E05000825,Clifford,North,-2.265405,53.46874
M15 4EF,E05000825,Clifford,North,-2.265998,53.467283
M15 4EH,E05000825,Clifford,North,-2.265484,53.466888
M15 4EJ,E05000825,Clifford,North,-2.266055,53.466662
M15 4EP,E05000825,Clifford,North,-2.263932,53.466802
M15 4EZ,E05000825,Clifford,North,-2.265438,53.469144
M15 4FB,E05000825,Clifford,North,-2.266127,53.466213
M15 4FD,E05000825,Clifford,North,-2.264637,53.466484
M15 4FE,E05000825,Clifford,North,-2.264673,53.467321
M15 4FF,E05000825,Clifford,North,-2.264673,53.467321
M15 4FH,E05000825,Clifford,North,-2.266055,53.466662
M15 4FJ,E05000825,Clifford,North,-2.265705,53.466203
M15 4FL,E05000825,Clifford,North,-2.265141,53.465109
M15 4FP,E05000825,Clifford,North,-2.259867,53.464752
M15 4FU,E05000825,Clifford,North,-2.261211,53.465307
M15 4FW,E05000825,Clifford,North,-2.266599,53.469438
M15 4GF,E05000825,Clifford,North,-2.261041,53.464615
M15 4GH,E05000825,Clifford,North,-2.260914,53.465937
M15 4GW,E05000825,Clifford,North,-2.261684,53.466482
M15 4GX,E05000825,Clifford,North,-2.262773,53.457321
M15 4JL,E05000825,Clifford,North,-2.264557,53.465757
M15 4JN,E05000825,Clifford,North,-2.265357,53.465837
M15 4LS,E05000825,Clifford,North,-2.262773,53.457321
M15 4ND,E05000825,Clifford,North,-2.269612,53.469432
M15 4NE,E05000825,Clifford,North,-2.269763,53.469422
M15 4NF,E05000825,Clifford,North,-2.2681,53.468536
M15 4PE,E05000825,Clifford,North,-2.262773,53.457321
M15 4PF,E05000825,Clifford,North,-2.262773,53.457321
M15 4PL,E05000825,Clifford,North,-2.262773,53.457321
M15 4QZ,E05000825,Clifford,North,-2.266688,53.471756
M15 4RD,E05000825,Clifford,North,-2.262773,53.457321
M15 4RR,E05000825,Clifford,North,-2.266132,53.471982
M15 4SF,E05000825,Clifford,North,-2.262773,53.457321
M15 4SG,E05000825,Clifford,North,-2.261772,53.466104
M15 4TS,E05000825,Clifford,North,-2.262773,53.457321
M15 4WD,E05000825,Clifford,North,-2.26892,53.469514
M15 4WF,E05000825,Clifford,North,-2.262773,53.457321
M15 4WJ,E05000825,Clifford,North,-2.262773,53.457321
M15 4WN,E05000825,Clifford,North,-2.262773,53.457321
M15 4WS,E05000825,Clifford,North,-2.262773,53.457321
M15 4WU,E05000825,Clifford,North,-2.262773,53.457321
M15 4WZ,E05000825,Clifford,North,-2.262773,53.457321
M15 4XA,E05000825,Clifford,North,-2.262773,53.457321
M15 4XB,E05000825,Clifford,North,-2.262773,53.457321
M15 4XD,E05000825,Clifford,North,-2.262773,53.457321
M15 4XE,E05000825,Clifford,North,-2.262773,53.457321
M15 4XF,E05000825,Clifford,North,-2.262773,53.457321
M15 4XG,E05000825,Clifford,North,-2.262773,53.457321
M15 4XH,E05000825,Clifford,North,-2.262773,53.457321
M15 4XJ,E05000825,Clifford,North,-2.262773,53.457321
M15 4XQ,E05000825,Clifford,North,-2.262773,53.457321
M15 4XR,E05000825,Clifford,North,-2.262773,53.457321
M15 4XS,E05000825,Clifford,North,-2.262773,53.457321
M15 4XT,E05000825,Clifford,North,-2.262773,53.457321
M15 4XU,E05000825,Clifford,North,-2.262773,53.457321
M15 4XW,E05000825,Clifford,North,-2.262773,53.457321
M15 4XX,E05000825,Clifford,North,-2.262773,53.457321
M15 4XY,E05000825,Clifford,North,-2.262773,53.457321
M15 4XZ,E05000825,Clifford,North,-2.262773,53.457321
M15 4ZZ,E05000825,Clifford,North,-2.262773,53.457321
M15 5AG,E05000825,Clifford,North,-2.262773,53.457321
M15 5BA,E05000825,Clifford,North,-2.262773,53.457338
M15 5BE,E05000825,Clifford,North,-2.262773,53.457321
M15 5BR,E05000825,Clifford,North,-2.262773,53.457321
M15 5DB,E05000825,Clifford,North,-2.262773,53.457321
M15 5HJ,E05000825,Clifford,North,-2.262773,53.457321
M15 5HL,E05000825,Clifford,North,-2.262773,53.457321
M15 5HW,E05000825,Clifford,North,-2.262773,53.457321
M15 5JU,E05000825,Clifford,North,-2.262773,53.457321
M15 5NF,E05000825,Clifford,North,-2.262773,53.457321
M15 5PE,E05000825,Clifford,North,-2.254219,53.460017
M15 5PF,E05000825,Clifford,North,-2.262773,53.457321
M15 5PP,E05000825,Clifford,North,-2.257892,53.459462
M15 5PQ,E05000825,Clifford,North,-2.256537,53.459734
M15 5PW,E05000825,Clifford,North,-2.253982,53.460674
M15 5PY,E05000825,Clifford,North,-2.254889,53.460997
M15 5QA,E05000825,Clifford,North,-2.254594,53.462049
M15 5QB,E05000825,Clifford,North,-2.253615,53.46197
M15 5QD,E05000825,Clifford,North,-2.254275,53.461547
M15 5QE,E05000825,Clifford,North,-2.255133,53.461473
M15 5QG,E05000825,Clifford,North,-2.254212,53.461052
M15 5QP,E05000825,Clifford,North,-2.262773,53.457321
M15 5SL,E05000825,Clifford,North,-2.262773,53.457321
M15 5TU,E05000825,Clifford,North,-2.262773,53.457321
M15 5TZ,E05000825,Clifford,North,-2.262773,53.457321
M15 5UU,E05000825,Clifford,North,-2.262773,53.457321
M15 5UW,E05000825,Clifford,North,-2.262773,53.457321
M15 5UX,E05000825,Clifford,North,-2.262773,53.457321
M15 5UY,E05000825,Clifford,North,-2.262773,53.457321
M15 5UZ,E05000825,Clifford,North,-2.262773,53.457321
M15 5WA,E05000825,Clifford,North,-2.262773,53.457321
M15 5WE,E05000825,Clifford,North,-2.262773,53.457321
M15 5WF,E05000825,Clifford,North,-2.262773,53.457321
M15 5WG,E05000825,Clifford,North,-2.262773,53.457321
M15 5WH,E05000825,Clifford,North,-2.262773,53.457321
M15 5WJ,E05000825,Clifford,North,-2.262773,53.457321
M15 5WN,E05000825,Clifford,North,-2.262773,53.457321
M15 5WP,E05000825,Clifford,North,-2.262773,53.457321
M15 5WQ,E05000825,Clifford,North,-2.262773,53.457321
M15 5WR,E05000825,Clifford,North,-2.262773,53.457321
M15 5WS,E05000825,Clifford,North,-2.262773,53.457321
M15 5WT,E05000825,Clifford,North,-2.262773,53.457321
M15 5WW,E05000825,Clifford,North,-2.262773,53.457321
M15 5WY,E05000825,Clifford,North,-2.262773,53.457321
M15 5WZ,E05000825,Clifford,North,-2.262773,53.457321
M15 5XA,E05000825,Clifford,North,-2.262773,53.457321
M15 5XB,E05000825,Clifford,North,-2.262773,53.457321
M15 5XD,E05000825,Clifford,North,-2.262773,53.457321
M15 5XJ,E05000825,Clifford,North,-2.262773,53.457321
M15 5XL,E05000825,Clifford,North,-2.262773,53.457321
M15 5XN,E05000825,Clifford,North,-2.262773,53.457321
M15 5XT,E05000825,Clifford,North,-2.262773,53.457321
M15 5XU,E05000825,Clifford,North,-2.262773,53.457321
M15 5XW,E05000825,Clifford,North,-2.262773,53.457321
M15 5XX,E05000825,Clifford,North,-2.262773,53.457321
M15 5XY,E05000825,Clifford,North,-2.262773,53.457321
M15 5XZ,E05000825,Clifford,North,-2.262773,53.457321
M15 5YY,E05000825,Clifford,North,-2.262773,53.457321
M15 5YZ,E05000825,Clifford,North,-2.262773,53.457321
M15 5ZU,E05000825,Clifford,North,-2.262773,53.457321
M15 6GJ,E05000825,Clifford,North,-2.262773,53.457321
M15 6JB,E05000825,Clifford,North,-2.262773,53.457321
M15 6LJ,E05000825,Clifford,North,-2.262773,53.457321
M15 6NX,E05000825,Clifford,North,-2.262773,53.457321
M15 6WA,E05000825,Clifford,North,-2.262773,53.457321
M15 6WB,E05000825,Clifford,North,-2.262773,53.457321
M15 6WD,E05000825,Clifford,North,-2.262773,53.457321
M15 6WE,E05000825,Clifford,North,-2.262773,53.457321
M15 6WF,E05000825,Clifford,North,-2.262773,53.457321
M15 6WQ,E05000825,Clifford,North,-2.262773,53.457321
M15 6WT,E05000825,Clifford,North,-2.262773,53.457321
M15 6WU,E05000825,Clifford,North,-2.262773,53.457321
M15 6WW,E05000825,Clifford,North,-2.262773,53.457321
M15 6XA,E05000825,Clifford,North,-2.262773,53.457321
M15 6XB,E05000825,Clifford,North,-2.262773,53.457321
M15 6XD,E05000825,Clifford,North,-2.262773,53.457321
M15 6ZZ,E05000825,Clifford,North,-2.262773,53.457321
M16 0AU,E05000825,Clifford,North,-2.262773,53.457321
M16 0AX,E05000832,Longford,North,-2.283606,53.460186
M16 0AZ,E05000825,Clifford,North,-2.262773,53.457321
M16 0BA,E05000825,Clifford,North,-2.277315,53.46563
M16 0BE,E05000825,Clifford,North,-2.271095,53.451532
M16 0BJ,E05000825,Clifford,North,-2.270928,53.451326
M16 0BL,E05000825,Clifford,North,-2.271723,53.450911
M16 0BN,E05000825,Clifford,North,-2.27228,53.450864
M16 0DD,E05000832,Longford,North,-2.286857,53.45999
M16 0DG,E05000825,Clifford,North,-2.271626,53.452133
M16 0DJ,E05000832,Longford,North,-2.27851,53.461681
M16 0DL,E05000825,Clifford,North,-2.262773,53.457321
M16 0DN,E05000825,Clifford,North,-2.272764,53.451178
M16 0DP,E05000825,Clifford,North,-2.272118,53.451476
M16 0DQ,E05000825,Clifford,North,-2.271398,53.451828
M16 0DR,E05000825,Clifford,North,-2.27178,53.45278
M16 0DS,E05000825,Clifford,North,-2.27282,53.45283
M16 0DT,E05000832,Longford,North,-2.273564,53.451464
M16 0DU,E05000832,Longford,North,-2.2741,53.452883
M16 0DW,E05000832,Longford,North,-2.274544,53.451694
M16 0DX,E05000832,Longford,North,-2.273955,53.451319
M16 0DY,E05000832,Longford,North,-2.273455,53.450871
M16 0EE,E05000825,Clifford,North,-2.262773,53.457321
M16 0EG,E05000832,Longford,North,-2.277158,53.453082
M16 0EJ,E05000832,Longford,North,-2.275465,53.456664
M16 0EL,E05000832,Longford,North,-2.276521,53.454657
M16 0EN,E05000832,Longford,North,-2.274722,53.453627
M16 0EP,E05000832,Longford,North,-2.27614,53.451575
M16 0EQ,E05000832,Longford,North,-2.277639,53.452928
M16 0ER,E05000825,Clifford,North,-2.262773,53.457321
M16 0ES,E05000832,Longford,North,-2.275539,53.454138
M16 0ET,E05000832,Longford,North,-2.274374,53.453296
M16 0EU,E05000832,Longford,North,-2.278573,53.452962
M16 0EW,E05000832,Longford,North,-2.27621,53.453147
M16 0EX,E05000832,Longford,North,-2.278292,53.451462
M16 0EY,E05000832,Longford,North,-2.282565,53.450921
M16 0EZ,E05000832,Longford,North,-2.280968,53.450772
M16 0FF,E05000832,Longford,North,-2.275189,53.456007
M16 0FG,E05000825,Clifford,North,-2.27405,53.456838
M16 0FH,E05000832,Longford,North,-2.277066,53.452813
M16 0FJ,E05000825,Clifford,North,-2.274001,53.456182
M16 0FL,E05000832,Longford,North,-2.276534,53.454324
M16 0FN,E05000832,Longford,North,-2.275682,53.450668
M16 0FP,E05000832,Longford,North,-2.276353,53.451898
M16 0FQ,E05000825,Clifford,North,-2.27405,53.456838
M16 0FR,E05000832,Longford,North,-2.275527,53.45234
M16 0FS,E05000832,Longford,North,-2.277033,53.452337
M16 0FT,E05000832,Longford,North,-2.274937,53.454238
M16 0FU,E05000832,Longford,North,-2.279002,53.451739
M16 0FW,E05000832,Longford,North,-2.275414,53.451172
M16 0FX,E05000832,Longford,North,-2.282247,53.450653
M16 0FY,E05000832,Longford,North,-2.281593,53.449737
M16 0FZ,E05000832,Longford,North,-2.282227,53.449969
M16 0GA,E05000832,Longford,North,-2.276964,53.450979
M16 0GB,E05000832,Longford,North,-2.275496,53.454514
M16 0GD,E05000832,Longford,North,-2.286292,53.458795
M16 0GE,E05000832,Longford,North,-2.275805,53.45331
M16 0GF,E05000832,Longford,North,-2.280418,53.449641
M16 0GG,E05000832,Longford,North,-2.284375,53.449146
M16 0GH,E05000832,Longford,North,-2.28079,53.453505
M16 0GJ,E05000832,Longford,North,-2.279786,53.451926
M16 0GL,E05000832,Longford,North,-2.281866,53.463543
M16 0GN,E05000825,Clifford,North,-2.262773,53.457321
M16 0GP,E05000832,Longford,North,-2.286857,53.45999
M16 0GQ,E05000832,Longford,North,-2.283372,53.452259
M16 0GR,E05000832,Longford,North,-2.281652,53.453979
M16 0GS,E05000832,Longford,North,-2.284835,53.459454
M16 0GT,E05000832,Longford,North,-2.286128,53.461304
M16 0GU,E05000832,Longford,North,-2.287757,53.461668
M16 0GW,E05000832,Longford,North,-2.287227,53.46121
M16 0GX,E05000829,Gorse Hill,North,-2.287628,53.460401
M16 0GY,E05000832,Longford,North,-2.285895,53.460208
M16 0GZ,E05000832,Longford,North,-2.28467,53.454952
M16 0HA,E05000832,Longford,North,-2.283745,53.449427
M16 0HB,E05000832,Longford,North,-2.285176,53.449603
M16 0HD,E05000832,Longford,North,-2.285457,53.451004
M16 0HE,E05000832,Longford,North,-2.285264,53.451436
M16 0HF,E05000832,Longford,North,-2.285122,53.452677
M16 0HG,E05000832,Longford,North,-2.285031,53.454853
M16 0HH,E05000832,Longford,North,-2.285395,53.453009
M16 0HJ,E05000832,Longford,North,-2.277066,53.452813
M16 0HL,E05000825,Clifford,North,-2.262773,53.457321
M16 0HN,E05000825,Clifford,North,-2.262773,53.457321
M16 0HP,E05000832,Longford,North,-2.278607,53.462679
M16 0HQ,E05000832,Longford,North,-2.283606,53.460186
M16 0HR,E05000832,Longford,North,-2.279249,53.452664
M16 0HS,E05000832,Longford,North,-2.28074,53.452705
M16 0HT,E05000832,Longford,North,-2.2811,53.452561
M16 0HU,E05000832,Longford,North,-2.281641,53.452335
M16 0HW,E05000825,Clifford,North,-2.262773,53.457321
M16 0HX,E05000832,Longford,North,-2.282153,53.452414
M16 0HY,E05000832,Longford,North,-2.282544,53.452216
M16 0HZ,E05000832,Longford,North,-2.284124,53.452176
M16 0JA,E05000832,Longford,North,-2.284391,53.451591
M16 0JB,E05000832,Longford,North,-2.284736,53.45133
M16 0JD,E05000832,Longford,North,-2.283633,53.453058
M16 0JE,E05000832,Longford,North,-2.284132,53.453345
M16 0JF,E05000832,Longford,North,-2.285173,53.453603
M16 0JG,E05000832,Longford,North,-2.281941,53.454464
M16 0JH,E05000832,Longford,North,-2.285325,53.453818
M16 0JJ,E05000825,Clifford,North,-2.277315,53.46563
M16 0JL,E05000832,Longford,North,-2.277081,53.452804
M16 0JN,E05000832,Longford,North,-2.28545,53.454492
M16 0JP,E05000832,Longford,North,-2.286652,53.454067
M16 0JQ,E05000832,Longford,North,-2.280912,53.45373
M16 0JR,E05000832,Longford,North,-2.28667,53.454534
M16 0JS,E05000832,Longford,North,-2.28458,53.455015
M16 0JT,E05000832,Longford,North,-2.283887,53.455035
M16 0JU,E05000832,Longford,North,-2.28458,53.455015
M16 0JW,E05000832,Longford,North,-2.284071,53.45543
M16 0JX,E05000832,Longford,North,-2.27558,53.46043
M16 0JY,E05000832,Longford,North,-2.283171,53.455963
M16 0JZ,E05000832,Longford,North,-2.283812,53.455053
M16 0LA,E05000832,Longford,North,-2.277074,53.458628
M16 0LB,E05000832,Longford,North,-2.278518,53.45609
M16 0LD,E05000832,Longford,North,-2.27466,53.457995
M16 0LE,E05000832,Longford,North,-2.276446,53.459411
M16 0LF,E05000832,Longford,North,-2.27652,53.456742
M16 0LG,E05000832,Longford,North,-2.275831,53.457364
M16 0LH,E05000832,Longford,North,-2.27673,53.46129
M16 0LJ,E05000832,Longford,North,-2.275641,53.460663
M16 0LL,E05000832,Longford,North,-2.27558,53.46043
M16 0LN,E05000832,Longford,North,-2.276328,53.459655
M16 0LP,E05000832,Longford,North,-2.277053,53.459959
M16 0LQ,E05000832,Longford,North,-2.274679,53.458634000000004
M16 0LR,E05000832,Longford,North,-2.276006,53.461175
M16 0LS,E05000832,Longford,North,-2.276764,53.455007
M16 0LT,E05000832,Longford,North,-2.276084,53.456887
M16 0LU,E05000832,Longford,North,-2.277166,53.456561
M16 0LW,E05000832,Longford,North,-2.275745,53.458074
M16 0LX,E05000832,Longford,North,-2.278246,53.455911
M16 0LY,E05000832,Longford,North,-2.277608,53.455104
M16 0LZ,E05000832,Longford,North,-2.276888,53.455537
M16 0NA,E05000832,Longford,North,-2.275413,53.455684
M16 0NB,E05000832,Longford,North,-2.275474,53.46043
M16 0ND,E05000832,Longford,North,-2.275029,53.459056
M16 0NE,E05000832,Longford,North,-2.275568,53.458632
M16 0NF,E05000832,Longford,North,-2.275686,53.455998
M16 0NG,E05000832,Longford,North,-2.276406,53.457776
M16 0NH,E05000832,Longford,North,-2.276819,53.458827
M16 0NJ,E05000832,Longford,North,-2.278167,53.459992
M16 0NL,E05000832,Longford,North,-2.282599,53.456062
M16 0NN,E05000832,Longford,North,-2.278507,53.458922
M16 0NP,E05000832,Longford,North,-2.281771,53.458357
M16 0NQ,E05000832,Longford,North,-2.276949,53.457883
M16 0NR,E05000832,Longford,North,-2.280723,53.459294
M16 0NS,E05000832,Longford,North,-2.278377,53.45752
M16 0NT,E05000832,Longford,North,-2.280693,53.457065
M16 0NU,E05000825,Clifford,North,-2.262773,53.457321
M16 0NW,E05000832,Longford,North,-2.278742,53.458013
M16 0NX,E05000832,Longford,North,-2.28158,53.45682
M16 0NY,E05000832,Longford,North,-2.284586,53.455914
M16 0NZ,E05000832,Longford,North,-2.275413,53.460349
M16 0PA,E05000832,Longford,North,-2.28461,53.45951
M16 0PB,E05000825,Clifford,North,-2.262773,53.457321
M16 0PD,E05000832,Longford,North,-2.285001,53.459437
M16 0PE,E05000832,Longford,North,-2.278915,53.461526
M16 0PF,E05000825,Clifford,North,-2.276525,53.462279
M16 0PG,E05000832,Longford,North,-2.284235,53.459762
M16 0PH,E05000832,Longford,North,-2.280104,53.461318
M16 0PJ,E05000832,Longford,North,-2.277112,53.452921
M16 0PL,E05000832,Longford,North,-2.281938,53.460855
M16 0PN,E05000832,Longford,North,-2.282058,53.4608
M16 0PP,E05000832,Longford,North,-2.282328,53.460648
M16 0PQ,E05000832,Longford,North,-2.283606,53.460186
M16 0PR,E05000825,Clifford,North,-2.262773,53.457321
M16 0PS,E05000832,Longford,North,-2.275574,53.459531
M16 0PT,E05000832,Longford,North,-2.286292,53.458795
M16 0PU,E05000832,Longford,North,-2.285023,53.458178
M16 0PW,E05000832,Longford,North,-2.280956,53.460336
